region_std,year,spi_grow_mean,spi_grow_min
Приморский край,2021,0.10004019962757575,-0.8007742539593975
Приморский край,2022,0.7090215892335011,-0.7091954622306019
Приморский край,2023,-0.2282794035128025,-1.2331410668466607
Псковская область,2007,-0.18314148132206035,-1.274604695892572
Псковская область,2008,0.8265563925804148,-0.3185452821597411
Псковская область,2009,0.638291777226502,-1.3440868023138963
Псковская область,2010,0.26242431030577423,-0.5916786649325841
Псковская область,2011,-0.0293187200875303,-1.7092647381186248
Псковская область,2012,0.47225632958966807,-0.2115702110934656
Псковская область,2013,0.15150889280811256,-1.1973448091918764
Псковская область,2014,0.05459758511062052,-1.6460339155022712
Псковская область,2015,-0.3524583219747503,-1.119512824072651
Псковская область,2016,1.035037313584953,-0.3145921484890841
Псковская область,2017,1.2132678076661683,-0.2495739372726885
Псковская область,2018,-0.5144270035252724,-1.505818615920425
Псковская область,2019,0.349849332618823,-1.4182788818388454
Псковская область,2020,0.1757605842211328,-0.3782939204107833
Псковская область,2021,0.5234160693632998,-0.8381865967405951
Псковская область,2022,-0.25860751467330856,-1.3172877340784996
Псковская область,2023,-1.9084222893114287,-2.494239440104618
Республика Адыгея,2007,-0.04726427742766054,-0.4543404494476341
Республика Адыгея,2008,0.9170075535465588,-0.6150160894773068
Республика Адыгея,2009,0.8071120359023688,0.0491359982604345
Республика Адыгея,2010,0.36907256674491906,-0.4333836841312227
Республика Адыгея,2011,1.1007363615616765,-0.7430942083149952
Республика Адыгея,2012,-0.033627748102555866,-0.5783679356914937
Республика Адыгея,2013,-0.07820985403314433,-0.4973723226190171
Республика Адыгея,2014,0.7391112076764106,-0.5279776329307363
Республика Адыгея,2015,0.31693056239640877,-1.3977137507379405
Республика Адыгея,2016,0.7474171198924324,-1.0372974202779155
Республика Адыгея,2017,0.5017741541362136,-1.215334966542435
Республика Адыгея,2018,-0.6334306976441875,-1.7292170921724883
Республика Адыгея,2019,0.17153751892505353,-0.2771278755653762
Республика Адыгея,2020,-0.45710926552496983,-1.4297215024249394
Республика Адыгея,2021,1.4080948297513365,0.7460429307779177
Республика Адыгея,2022,-0.4014092048803161,-0.7732896213212125
Республика Адыгея,2023,-1.1274508559874232,-2.776130665223086
Республика Алтай,2007,0.7948283759613289,-0.8639343703390058
Республика Алтай,2008,0.4563606897996721,-0.6376849889650595
Республика Алтай,2009,1.0157731080895256,-0.5676779282281179
Республика Алтай,2010,0.7656126834353757,-0.7625659326683725
Республика Алтай,2011,0.18825751494020762,-1.0605285872188728
Республика Алтай,2012,0.46311944681417333,-1.057627143518208
Республика Алтай,2013,0.8965800764205624,-0.6422842200584779
Республика Алтай,2014,0.6823927551408748,-0.9111956345403788
Республика Алтай,2015,0.6935004625632093,-0.4452800740229317
Республика Алтай,2016,0.831136947178755,-0.430732927464413
Республика Алтай,2017,0.28166405246498344,-1.0863004169279744
Республика Алтай,2018,0.7768083219004005,0.0722895874873363
Республика Алтай,2019,0.6018692176189743,-1.0114804235085324
Республика Алтай,2020,0.6915762388182168,-0.9868467108740854
Республика Алтай,2021,0.5598191593575023,-0.3346404517851033
Республика Алтай,2022,0.2451590566328621,-0.8388047936721866
Республика Алтай,2023,-0.5777606214855032,-1.2395379751624545
Республика Башкортостан,2007,1.5043912835827538,0.4533093310556133
Республика Башкортостан,2008,0.6885748223299065,0.2449940629511589
Республика Башкортостан,2009,-0.05983357448384763,-0.4699607391887511
Республика Башкортостан,2010,-1.0741191564396013,-1.7634470058296638
Республика Башкортостан,2011,0.7189567105284344,-0.2872222023777698
Республика Башкортостан,2012,-0.5230592910849818,-1.0120514752788892
Республика Башкортостан,2013,0.6534737986284543,-0.4965910850559761
Республика Башкортостан,2014,-0.03875801807905708,-0.5670859476010655
Республика Башкортостан,2015,0.738735133316453,-0.6706178834439812
Республика Башкортостан,2016,-0.5827980047483233,-1.5420954778263722
Республика Башкортостан,2017,0.8182501718468217,-0.5574082193630072
Республика Башкортостан,2018,0.10954095846391461,-0.5187295226621494
Республика Башкортостан,2019,0.5907111058427141,-0.7426222871587829
Республика Башкортостан,2020,0.45404329684052924,-0.074940318547225
Республика Башкортостан,2021,-1.0658056254950403,-1.4224252148854857
Республика Башкортостан,2022,0.35086922860341296,-1.62859758224879
Республика Башкортостан,2023,-1.7650820462635188,-2.1752570870683705
Республика Бурятия,2007,0.6944938500661818,-0.7664059546700465
Республика Бурятия,2008,1.0049247032212507,-0.8436768664942912
Республика Бурятия,2009,0.8384713084703034,-0.9290040988899996
Республика Бурятия,2010,0.41657237711004047,-0.8974794479845847
Республика Бурятия,2011,0.482051456185095,-0.8545428359889139
Республика Бурятия,2012,0.9135422674240531,-0.5619614255743726
Республика Бурятия,2013,0.5620034905358112,-0.880905138818829
Республика Бурятия,2014,0.29666756678937284,-0.9527506940453933
Республика Бурятия,2015,0.14061644635537815,-0.7973622060049348
Республика Бурятия,2016,0.30303591444136546,-0.6507914533893858
Республика Бурятия,2017,0.3707508671771705,-0.9153439891704904
Республика Бурятия,2018,0.7519376153258027,-0.9504842871213208
Республика Бурятия,2019,0.26609366720417493,-0.9684484608115332
Республика Бурятия,2020,0.8661821277051761,-0.8257095338238756
Республика Бурятия,2021,0.8077867165232434,-0.7296866572999681
Республика Бурятия,2022,0.575627674835404,-0.8464644691872486
Республика Бурятия,2023,-0.2860698752163911,-1.128807322408151
Республика Дагестан,2007,0.34162516318865427,-0.3730217206853896
Республика Дагестан,2008,1.3013475681232662,-0.4366892965626268
Республика Дагестан,2009,1.3007657964492407,-0.3407230635319028
Республика Дагестан,2010,0.43665727399033666,-0.2134010233514217
Республика Дагестан,2011,0.9583934492599094,0.0380357783821125
Республика Дагестан,2012,0.7684884560649587,-0.6106703726173576
Республика Дагестан,2013,1.4053513465914182,-0.0685485003539078
Республика Дагестан,2014,0.31415749647343144,-0.4397513534928935
Республика Дагестан,2015,0.412949586261009,0.0196555685820376
Республика Дагестан,2016,1.4573261337978431,0.0741417174484425
Республика Дагестан,2017,0.4357741595578933,-0.8130958948927698
Республика Дагестан,2018,0.7438591821215059,0.0144018840779355
Республика Дагестан,2019,0.40971741448985055,-0.3947659866265335
Республика Дагестан,2020,0.3713337868669549,-0.6650202933247668
Республика Дагестан,2021,0.4378479037862791,-0.206864779449969
Республика Дагестан,2022,0.25816255501885815,-0.7068715313639526
Республика Дагестан,2023,-0.786675600595994,-1.409549230994255
Республика Ингушетия,2007,0.5671319046019995,-0.3898821809727129
Республика Ингушетия,2008,1.1263790264188247,-0.3864312035145264
Республика Ингушетия,2009,1.3071996038692735,-0.3883239790140008
Республика Ингушетия,2010,0.7907978471683839,0.0108120063895162
Республика Ингушетия,2011,0.9558005419456639,-0.2091497699601579
Республика Ингушетия,2012,0.97505435053796,-0.4905890127634491
Республика Ингушетия,2013,1.080141978855279,-0.0887335148057331
Республика Ингушетия,2014,1.0782248049135648,-0.1972690440597967
Республика Ингушетия,2015,0.5915386243275222,-0.4789182478125834
Республика Ингушетия,2016,1.261025872160393,-0.1553849734347417
Республика Ингушетия,2017,0.6647228566004929,-0.5263359466989556
Республика Ингушетия,2018,0.7575930736101171,-0.3086570806978919
Республика Ингушетия,2019,0.43078348637014,-0.243803973581579
Республика Ингушетия,2020,0.28854212683675895,-0.6519813989151707
Республика Ингушетия,2021,0.40471550446101306,-0.3406232209392673
Республика Ингушетия,2022,0.3510524577322088,-0.5755739273481016
Республика Ингушетия,2023,-0.7560694954737158,-1.170158443556783
Республика Калмыкия,2007,-0.40402822796537713,-0.9829311527892616
Республика Калмыкия,2008,1.231885209037074,-0.5349839713346731
