region_std,year,month,temp_c,prec_mm,pet_proxy,water_balance,wb_3m,spei_like_3
Новосибирская область,2019,7,20.24112,38.98036980101218,101.20559999999999,-62.22523019898781,-78.938599177574,-1.2164413544991843
Новосибирская область,2019,8,18.653402,32.20272461813278,93.26701,-61.06428538186722,-117.17791445250728,-1.6916093238303576
Новосибирская область,2019,9,11.286218,43.16852239605326,56.43109,-13.262567603946735,-136.55208318480177,-1.932355904876975
Новосибирская область,2019,10,4.7810984,47.1289312254924,23.905492000000002,23.2234392254924,-51.10341376032155,-0.8705567999359721
Новосибирская область,2019,11,-9.942243,34.675195847566314,0.0,34.675195847566314,44.63606746911198,0.31911761116498055
Новосибирская область,2019,12,-9.865352,47.896426097012295,0.0,47.896426097012295,105.79506117007101,1.0790892433524615
Новосибирская область,2020,1,-10.236277,48.96828278254431,0.0,48.96828278254431,131.53990472712292,1.3989988689772745
Новосибирская область,2020,2,-7.9285474,39.62046295953676,0.0,39.62046295953676,136.48517183909337,1.4604495647991111
Новосибирская область,2020,3,-2.9064636,25.58493537331621,0.0,25.58493537331621,114.17368111539727,1.1832033415415613
Новосибирская область,2020,4,7.5980153,29.299299996346235,37.9900765,-8.690776503653765,56.5146218291992,0.46672246531289385
Новосибирская область,2020,5,16.517565,32.917371570884896,82.58782500000001,-49.67045342911511,-32.77629455945267,-0.6428210271650665
Новосибирская область,2020,6,16.817696,39.75473603126235,84.08848,-44.33374396873766,-102.69497390150653,-1.5116419420379767
Новосибирская область,2020,7,20.067173,60.04837492404458,100.335865,-40.28749007595542,-134.2916874738082,-1.9042678590488693
Новосибирская область,2020,8,18.89532,52.01829022001953,94.4766,-42.458309779980475,-127.07954382467355,-1.8146485855957568
Новосибирская область,2020,9,10.979302,64.25683956593275,54.896510000000006,9.360329565932744,-73.38547029000316,-1.1474372690972936
Новосибирская область,2020,10,3.5479305,48.381000905799176,17.739652500000002,30.641348405799175,-2.456631808248556,-0.26606395197392846
Новосибирская область,2020,11,-5.0573597,27.95333254007766,0.0,27.95333254007766,67.95501051180958,0.6088826012774308
Новосибирская область,2020,12,-15.597558,34.48169945502797,0.0,34.48169945502797,93.07638040090481,0.9210448414011064
Новосибирская область,2021,1,-21.90806,20.613384910787527,0.0,20.613384910787527,83.04841690589315,0.7964357312171862
Новосибирская область,2021,2,-16.98688,35.043246995848726,0.0,35.043246995848726,90.13833136166423,0.8845361647751288
Новосибирская область,2021,3,-6.706158,45.847952509681,0.0,45.847952509681,101.50458441631724,1.0257750793334162
Новосибирская область,2021,4,2.661751,17.758518212403242,13.308755000000001,4.449763212403241,85.34096271793297,0.8249232794453245
Новосибирская область,2021,5,14.4629,20.200103795824525,72.3145,-52.11439620417547,-1.816680482091229,-0.2581118124040993
Новосибирская область,2021,6,16.389751,68.88738974499014,81.948755,-13.06136525500986,-60.72599824678209,-0.990128604432858
Новосибирская область,2021,7,20.002401,53.065484110839094,100.01200499999999,-46.946520889160894,-112.12228234834623,-1.6287872146124542
Новосибирская область,2021,8,18.42643,72.64266395301391,92.13215,-19.489486046986087,-79.49737219115684,-1.2233847591148852
Новосибирская область,2021,9,9.433941,61.165060883817766,47.16970500000001,13.995355883817759,-52.44065105232922,-0.8871735286610738
Новосибирская область,2021,10,2.732575,35.00418010471054,13.662875000000001,21.341305104710543,15.847174941542214,-0.03861786352292445
Новосибирская область,2021,11,-6.815834,46.81248211230223,0.0,46.81248211230223,82.14914310083053,0.7852612082229309
Новосибирская область,2021,12,-9.974359,37.304493789608856,0.0,37.304493789608856,105.45828100662162,1.0749043581047342
Новосибирская область,2022,1,-13.028588,19.75413679927349,0.0,19.75413679927349,103.87111270118456,1.055181945837177
Новосибирская область,2022,2,-11.015607,17.719892238863768,0.0,17.719892238863768,74.77852282774612,0.6936726783893822
Новосибирская область,2022,3,-8.16185,23.432544133315485,0.0,23.432544133315485,60.90657317145274,0.5212975691215113
Новосибирская область,2022,4,5.1460257,18.326715598455987,25.7301285,-7.403412901544012,33.74902347063524,0.18383342650892157
Новосибирская область,2022,5,15.234383,20.995212128947085,76.171915,-55.17670287105291,-39.14757163928144,-0.7219915554630203
Новосибирская область,2022,6,16.870602,75.3079255612997,84.35301000000001,-9.045084438700314,-71.62520021129724,-1.1255638659581582
Новосибирская область,2022,7,19.098118,49.420802212033706,95.49059,-46.06978778796629,-110.29157509771952,-1.6060385476850843
Новосибирская область,2022,8,16.695448,38.24954200313928,83.47724,-45.22769799686071,-100.34257022352732,-1.4824105902034606
Новосибирская область,2022,9,11.161209,17.002334193899653,55.806045,-38.80371080610034,-130.10119659092734,-1.85219613577132
Новосибирская область,2022,10,3.4184632,21.40711057952677,17.092316,4.314794579526769,-79.71661422343428,-1.2261090963714574
Новосибирская область,2022,11,-9.811782,19.45290335848068,0.0,19.45290335848068,-15.036012868092893,-0.4223773930142162
Новосибирская область,2022,12,-17.252943,18.241815430804703,0.0,18.241815430804703,42.00951336881215,0.2864796214623756
Новосибирская область,2023,1,-13.17452,21.738570978244145,0.0,21.738570978244145,59.43328976752953,0.5029903092174509
Новосибирская область,2023,2,-13.670583,8.53574185519933,0.0,8.53574185519933,48.516128264248174,0.3673318795338218
Новосибирская область,2023,3,-3.7415473,12.702678089209188,0.0,12.702678089209188,42.97699092265266,0.2985016553645684
Новосибирская область,2023,4,1.2871774,4.378478379691772,6.435887,-2.0574086203082285,19.18101132410029,0.002808931193270148
Новосибирская область,2023,5,11.437716,5.391470191336105,57.18858,-51.7971098086639,-41.15184033976294,-0.7468969252782095
Новосибирская область,2023,6,18.999125,21.162135140039027,94.99562499999999,-73.83348985996096,-127.68800828893309,-1.8222094642834021
Новосибирская область,2023,7,21.76591,40.62200657591128,108.82955000000001,-68.20754342408873,-193.8381430927136,-2.644201829986153
Новосибирская область,2023,8,17.586874,37.475053988421,87.93437,-50.459316011579,-192.5003492956287,-2.627578186038183
Новосибирская область,2023,9,11.922379,21.00225753724002,59.611895,-38.60963746275998,-157.2764968984277,-2.189880850318089
Новосибирская область,2023,10,5.0769186,23.09675919417387,25.384593,-2.2878338058261285,-91.35678728016511,-1.3707517855583096
Новосибирская область,2023,11,-2.7368398,21.07267322305303,0.0,21.07267322305303,-19.824798045533075,-0.48188361879172364
Новосибирская область,2023,12,-14.32106,29.17080690040707,0.0,29.17080690040707,47.95564631763397,0.3603672394375062
Омская область,2007,1,-8.662571,36.29466899958794,0.0,36.29466899958794,,
Омская область,2007,2,-15.918625,27.9648537130175,0.0,27.9648537130175,,
Омская область,2007,3,-6.871685,23.22960608355894,0.0,23.22960608355894,87.48912879616438,0.9680734058266005
Омская область,2007,4,5.4999576,49.30988899069632,27.499788000000002,21.81010099069632,73.00456078727277,0.7670198974558946
Омская область,2007,5,10.520832,94.8637509886733,52.60416,42.2595909886733,87.29929806292856,0.965438454277461
Омская область,2007,6,15.113402,83.2208603870369,75.56701000000001,7.653850387036883,71.7235423664065,0.749238680394774
Омская область,2007,7,20.250198,91.7544485034938,101.25099,-9.496541496506197,40.41689987920398,0.3146858305275501
Омская область,2007,8,16.81447,72.36783495030836,84.07235,-11.704515049691636,-13.54720615916095,-0.43436466503723314
Омская область,2007,9,11.776161,33.13960997599685,58.880805,-25.741195024003154,-46.94225157020099,-0.8979056583182905
Омская область,2007,10,4.2194695,23.37519366893464,21.097347499999998,2.2778461689346408,-35.167863904760154,-0.7344708946718739
Омская область,2007,11,-5.5488257,28.642993978932942,0.0,28.642993978932942,5.179645123864429,-0.1744260083318737
Омская область,2007,12,-11.285053,29.633596823630693,0.0,29.633596823630693,60.554436971498276,0.5942055566157298
Омская область,2008,1,-18.11355,10.125033970721468,0.0,10.125033970721468,68.4016247732851,0.7031286972592442
Омская область,2008,2,-10.42753,35.06448742952532,0.0,35.06448742952532,74.82311822387749,0.7922624419749006
Омская область,2008,3,-3.1521184,29.81491868513192,0.0,29.81491868513192,75.00444008537872,0.7947792858584566
Омская область,2008,4,2.9876714,20.806334465072897,14.938357,5.867977465072897,70.74738357973015,0.735689077212429
Омская область,2008,5,11.811997,47.068877288473104,59.059985,-11.991107711526894,23.691788438677925,0.08253238757056464
Омская область,2008,6,16.811666,56.93688878756083,84.05833,-27.121441212439166,-33.24457145889316,-0.7077745725152821
Омская область,2008,7,21.16844,65.18505189881591,105.8422,-40.65714810118409,-79.76969702515015,-1.3535680622998203
Омская область,2008,8,16.73635,51.253348243004545,83.68175000000001,-32.42840175699546,-100.20699107061873,-1.6372485743401393
Омская область,2008,9,8.409534,58.560227774931285,42.047670000000004,16.51255777493128,-56.57299208324827,-1.0315854592738605
Омская область,2008,10,4.5156074,31.44082376087259,22.578037000000002,8.862786760872588,-7.053057221191594,-0.3442224235110017
Омская область,2008,11,-0.83266777,42.00205171982685,0.0,42.00205171982685,67.37739625563071,0.6889118606424164
Омская область,2008,12,-10.300179,19.578134813054117,0.0,19.578134813054117,70.44297329375355,0.7314637005258647
Омская область,2009,1,-16.873016,23.8830613599209,0.0,23.8830613599209,85.46324789280187,0.939953101312706
Омская область,2009,2,-19.693548,23.4906493343279,0.0,23.4906493343279,66.95184550730292,0.6830049899032572
Омская область,2009,3,-5.267858,10.592258922830077,0.0,10.592258922830077,57.965969617078876,0.5582762529188855
Омская область,2009,4,3.5001657,41.86209693640292,17.5008285,24.36126843640292,58.444176693560905,0.5649140215009648
Омская область,2009,5,11.112976,44.92749955140783,55.56488,-10.637380448592175,24.31614691064082,0.09119881526050712
Омская область,2009,6,15.714973,64.00470381011506,78.574865,-14.570161189884942,-0.8462732020741974,-0.2580689599091366
Омская область,2009,7,17.981361,107.31306338512492,89.90680499999999,17.40625838512493,-7.801283253352189,-0.3546081988222042
Омская область,2009,8,16.432114,78.31938239789295,82.16056999999999,-3.8411876021070412,-1.0050904068670548,-0.26027342718725155
Омская область,2009,9,11.151554,28.309672021580315,55.75777000000001,-27.448097978419693,-13.883027195401805,-0.43902603964498554
Омская область,2009,10,3.516448,29.762278572661792,17.58224,12.180038572661793,-19.10924700786494,-0.5115687504919493
Омская область,2009,11,-6.151279,32.71300721668198,0.0,32.71300721668198,17.44494781092408,-0.004177083065465836
Омская область,2009,12,-19.670137,30.011420669848334,0.0,30.011420669848334,74.90446645919211,0.7933915987505621
Омская область,2010,1,-26.245415,11.205525437366225,0.0,11.205525437366225,73.92995332389654,0.7798648380847117
Омская область,2010,2,-22.157063,15.911605589285106,0.0,15.911605589285106,57.12855169649966,0.5466524467548634
Омская область,2010,3,-7.783321,33.78936867109554,0.0,33.78936867109554,60.90649969774687,0.599092374519818
Омская область,2010,4,3.809997,20.94661468249595,19.049985,1.896629682495952,51.59760394287659,0.46987994999842847
Омская область,2010,5,9.892164,37.81219017710871,49.46082,-11.648629822891287,24.037368530700203,0.08732922306344912
