region,year,subsidy_main,subsidy_secondary,subsidy_third,subsidy_col_4,subsidy_col_5,subsidy_col_6,subsidy_col_7,subsidy_col_8,subsidy_col_9,subsidy_col_10
Липецкая область,2019,126000000132.0,5562.312900000001,3156706447.572817,33611428.91692561,24204725.34499335,9419969.22795431,24201348.60763486,3197.59786986,33611718.27143947,24205114.76348203
Липецкая область,2020,126000000154.0,4908.0601,5234167014.1242,513718886.46728,369882941.9845346,657559943.86488,739753461.121271,657559202.9563072,739753431.6351783,143846604.65934312
Липецкая область,2021,42000000209.0,6885.24794,4467.54982,5624.9632811599995,9091.23312277,4492.29926116,5097.790666159999,3525.85591563,5379.66882483,8011.949255579999
Липецкая область,2022,42000000198.0,4927.276800000001,3319.7391000000002,5621.707406369999,8609.68270208,4028.27017174,5313.007069970001,3331.083682980001,5640.44339308,8609.68249029
Липецкая область,2023,220.0,8897.804100000001,0.0,10430.36479086,8880.690100000002,1549.67469086,8880.689393499999,8.70584831,10430.36404467,8880.68939336
Липецкая область,2024,187.0,9408.4081,0.0,11315.33418916,9181.633100000001,2133.70108916,9181.57257433,18.746355119999997,11315.252471369999,9181.57257406
Луганская Народная Республика,2024,1683.0,358.8558,0.0,362.480608,358.8558,3.624808,358.8558,0.0,362.480608,358.8558
Магаданская область,2016,132000001181.0,367.3306,39204548.4363,3528106.136,2866655.3126,661571.1987,236560.03658038002,1256804.3609401903,801037.63656962,1131918.46566519
Магаданская область,2017,132000000910.0,331.3316,30165830.1658,2785919.35,1966220.0066,819789.1842,1941203.1801350198,32.50005311,2750472.35758248,1941201.3099334599
Магаданская область,2018,132000001092.0,70101671.0,70101400.0,75150052.5,105904173.5,40904752.5,71754011.54,34786335.11,75788342.4,105891754.03
Магаданская область,2019,132000001092.0,352.6129,55401287.4776,1986717.3858077,1807944.63615385,185105.1741077,1807918.54243308,56.06352067,1986720.93502837,1807970.93875385
Магаданская область,2020,132000001274.0,402.90160000000003,150564091.6966,20619354.34182105,18763713.02269075,22475062.72062105,37527121.92652377,22475052.71891883,37527123.65490358,1855926.41411829
