region,year,area_total,level
Приволжский Федеральный округ,2008,14006.574,federal_district
Приволжский Федеральный округ,2009,14292.981,federal_district
Приволжский Федеральный округ,2010,12949.045,federal_district
Приволжский Федеральный округ,2011,12163.073,federal_district
Приволжский Федеральный округ,2012,12706.861,federal_district
Приволжский Федеральный округ,2013,13162.781,federal_district
Приволжский Федеральный округ,2014,12922.034,federal_district
Приволжский Федеральный округ,2015,12927.235,federal_district
Приволжский Федеральный округ,2016,13011.808,federal_district
Приволжский Федеральный округ,2017,13096.357,federal_district
Приволжский федеральный округ,2022,13016.55531,region
Приволжский федеральный округ,2023,13305.29272,region
Приморский край,2007,103.618,region
Приморский край,2008,109.447,region
Приморский край,2009,116.412,region
Приморский край,2010,79.83500000000001,region
Приморский край,2011,102.876,region
Приморский край,2012,118.045,region
Приморский край,2013,106.026,region
Приморский край,2014,112.526,region
Приморский край,2015,100.86,region
Приморский край,2016,105.666,region
Приморский край,2017,101.119,region
Приморский край,2018,98.215,region
Приморский край,2019,103.453,region
Приморский край,2020,113.264,region
Приморский край,2021,116.345,region
Приморский край,2022,122.85727,region
Приморский край,2023,126.37943,region
Псковская область,2007,19.956,region
Псковская область,2008,24.1,region
Псковская область,2009,23.272,region
Псковская область,2010,17.666,region
Псковская область,2011,21.017,region
Псковская область,2012,24.742,region
Псковская область,2013,27.243,region
Псковская область,2014,39.005,region
Псковская область,2015,43.31,region
Псковская область,2016,45.732,region
Псковская область,2017,44.654,region
Псковская область,2018,28.205,region
Псковская область,2019,38.794,region
Псковская область,2020,42.775,region
Псковская область,2021,49.616,region
Псковская область,2022,50.4077,region
Псковская область,2023,43.06143,region
РОССИЙСКАЯ ФЕДЕРАЦИЯ,2018,46339.364,region
РОССИЙСКАЯ ФЕДЕРАЦИЯ,2019,46660.411,region
РОССИЙСКАЯ ФЕДЕРАЦИЯ,2020,47899.847,region
РОССИЙСКАЯ ФЕДЕРАЦИЯ,2021,47007.359,region
Республика Адыгея,2007,102.714,region
Республика Адыгея,2008,118.625,region
Республика Адыгея,2009,122.504,region
Республика Адыгея,2010,114.212,region
Республика Адыгея,2011,110.212,region
Республика Адыгея,2012,109.927,region
Республика Адыгея,2013,130.379,region
Республика Адыгея,2014,134.634,region
Республика Адыгея,2015,143.403,region
Республика Адыгея,2016,151.462,region
Республика Адыгея,2017,143.301,region
Республика Адыгея,2018,147.245,region
Республика Адыгея,2019,145.858,region
Республика Адыгея,2020,143.6,region
Республика Адыгея,2021,141.543,region
Республика Адыгея (Адыгея),2022,123.96231,region
Республика Адыгея (Адыгея),2023,130.22268,region
Республика Алтай,2007,16.08,region
Республика Алтай,2008,14.966,region
Республика Алтай,2009,12.327,region
Республика Алтай,2010,9.19,region
Республика Алтай,2011,8.543,region
Республика Алтай,2012,8.591000000000001,region
Республика Алтай,2013,7.618,region
Республика Алтай,2014,6.872,region
Республика Алтай,2015,6.473000000000001,region
Республика Алтай,2016,6.483000000000001,region
Республика Алтай,2017,6.52,region
Республика Алтай,2018,6.31,region
Республика Алтай,2019,6.593,region
Республика Алтай,2020,7.469,region
Республика Алтай,2021,6.654,region
Республика Алтай,2022,7.39325,region
Республика Алтай,2023,6.32126,region
Республика Башкортостан,2007,1651.696,region
Республика Башкортостан,2008,1719.818,region
Республика Башкортостан,2009,1892.619,region
Республика Башкортостан,2010,1760.711,region
Республика Башкортостан,2011,1589.887,region
Республика Башкортостан,2012,1695.366,region
Республика Башкортостан,2013,1740.509,region
Республика Башкортостан,2014,1750.871,region
Республика Башкортостан,2015,1757.084,region
Республика Башкортостан,2016,1810.701,region
Республика Башкортостан,2017,1785.706,region
Республика Башкортостан,2018,1749.958,region
Республика Башкортостан,2019,1670.489,region
Республика Башкортостан,2020,1782.49,region
Республика Башкортостан,2021,1716.729,region
Республика Башкортостан,2022,1759.272,region
Республика Башкортостан,2023,1749.2921,region
Республика Бурятия,2007,107.665,region
Республика Бурятия,2008,86.141,region
Республика Бурятия,2009,102.922,region
Республика Бурятия,2010,107.017,region
Республика Бурятия,2011,108.263,region
Республика Бурятия,2012,100.91,region
Республика Бурятия,2013,92.689,region
Республика Бурятия,2014,89.373,region
