region,year,area_total,level
Ивановская область,2010,67.542,region
Ивановская область,2011,64.92699999999999,region
Ивановская область,2012,63.465,region
Ивановская область,2013,64.616,region
Ивановская область,2014,62.16199999999999,region
Ивановская область,2015,64.133,region
Ивановская область,2016,66.07300000000001,region
Ивановская область,2017,64.341,region
Ивановская область,2018,62.028,region
Ивановская область,2019,60.633,region
Ивановская область,2020,62.212,region
Ивановская область,2021,63.908,region
Ивановская область,2022,68.4221,region
Ивановская область,2023,67.50999,region
Иркутская область,2007,409.372,region
Иркутская область,2008,421.136,region
Иркутская область,2009,410.812,region
Иркутская область,2010,357.925,region
Иркутская область,2011,377.462,region
Иркутская область,2012,391.173,region
Иркутская область,2013,398.528,region
Иркутская область,2014,406.637,region
Иркутская область,2015,409.359,region
Иркутская область,2016,405.5719999999999,region
Иркутская область,2017,427.09,region
Иркутская область,2018,437.382,region
Иркутская область,2019,432.134,region
Иркутская область,2020,417.816,region
Иркутская область,2021,410.351,region
Иркутская область,2022,405.9151,region
Иркутская область,2023,392.4481,region
Кабардино-Балкарская Республика,2007,180.88,region
Кабардино-Балкарская Республика,2008,196.122,region
Кабардино-Балкарская Республика,2009,191.041,region
Кабардино-Балкарская Республика,2010,175.358,region
Кабардино-Балкарская Республика,2011,182.404,region
Кабардино-Балкарская Республика,2012,194.586,region
Кабардино-Балкарская Республика,2013,207.736,region
Кабардино-Балкарская Республика,2014,207.161,region
Кабардино-Балкарская Республика,2015,207.817,region
Кабардино-Балкарская Республика,2016,207.673,region
Кабардино-Балкарская Республика,2017,210.677,region
Кабардино-Балкарская Республика,2018,209.11,region
Кабардино-Балкарская Республика,2019,212.093,region
Кабардино-Балкарская Республика,2020,218.021,region
Кабардино-Балкарская Республика,2021,222.787,region
Кабардино-Балкарская Республика,2022,215.62731,region
Кабардино-Балкарская Республика,2023,230.7104,region
Калининградская область,2007,72.532,region
Калининградская область,2008,65.935,region
Калининградская область,2009,72.94900000000001,region
Калининградская область,2010,63.97,region
Калининградская область,2011,63.53799999999999,region
Калининградская область,2012,73.41,region
Калининградская область,2013,89.921,region
Калининградская область,2014,112.663,region
Калининградская область,2015,132.614,region
Калининградская область,2016,133.803,region
Калининградская область,2017,125.451,region
Калининградская область,2018,104.249,region
Калининградская область,2019,131.408,region
Калининградская область,2020,137.284,region
Калининградская область,2021,149.167,region
Калининградская область,2022,135.98444,region
Калининградская область,2023,129.22139,region
Калужская область,2007,77.41,region
Калужская область,2008,97.766,region
Калужская область,2009,93.349,region
Калужская область,2010,75.40499999999999,region
Калужская область,2011,79.367,region
Калужская область,2012,79.746,region
Калужская область,2013,70.078,region
Калужская область,2014,68.84200000000001,region
Калужская область,2015,83.977,region
Калужская область,2016,82.44099999999999,region
Калужская область,2017,91.752,region
Калужская область,2018,77.092,region
Калужская область,2019,84.033,region
Калужская область,2020,99.319,region
Калужская область,2021,89.558,region
Калужская область,2022,93.80355,region
Калужская область,2023,83.24171,region
Камчатский край,2007,0.34,region
Камчатский край,2008,0.334,region
Камчатский край,2009,0.221,region
Камчатский край,2010,0.26,region
Камчатский край,2011,0.174,region
Камчатский край,2012,0.054,region
Камчатский край,2013,0.064,region
Камчатский край,2014,0.136,region
Камчатский край,2015,0.123,region
Камчатский край,2016,0.115,region
Камчатский край,2017,0.142,region
Камчатский край,2018,0.049,region
Камчатский край,2019,0.053,region
Камчатский край,2020,0.015,region
Камчатский край,2021,0.015,region
Камчатский край,2022,0.135,region
Камчатский край,2023,0.5233,region
Карачаево-Черкесская Республика,2007,66.806,region
