region,region_std,year,production,area_total,temp_annual_mean,prec_annual_sum,temp_grow_mean,prec_grow_sum,prec_winter_sum,temp_annual_lag1,prec_annual_lag1,temp_grow_lag1,prec_grow_lag1,ln_production,ln_area,temp_grow_sq,prec_grow_sq
Тульская область,Тульская область,2022,2672500.0,611.61331,6.277997966666667,651.8094483462809,14.288610499999999,390.8644636833359,275.54484723435354,6.034598566666666,707.972895763793,15.441519499999998,395.1771016057355,14.798524921881338,6.416100236408034,204.16439002071021,152775.0289704618
Тульская область,Тульская область,2023,2588500.0,606.39708,6.863813003333334,431.4785681113558,15.135304499999998,179.9048372468447,161.54452732110917,6.277997966666667,651.8094483462809,14.288610499999999,390.8644636833359,14.766589115324093,6.407535019013138,229.0774423077202,32365.75046481368
Тюменская область,Тюменская область,2007,1271110.0,612.557,2.5582545666666663,639.7523610412278,12.753397616666668,457.08952991681826,96.39174290155628,,,,,14.055401092453451,6.417641999313445,162.64915076879905,208930.8383595779
Тюменская область,Тюменская область,2008,1238360.0,689.245,2.989041695833333,552.0034161894419,11.995382733333331,359.1792729490363,139.89763005756973,2.5582545666666663,639.7523610412278,12.753397616666668,457.08952991681826,14.029298481554349,6.535596795615715,143.8892069191514,129009.75011619834
Тюменская область,Тюменская область,2009,1525090.6,720.2969999999999,0.8236773333333334,540.5864564758633,12.304260900000001,360.98658086332136,136.2366017843029,2.989041695833333,552.0034161894419,11.995382733333331,359.1792729490363,14.23756437609502,6.579663626955365,151.39483629526885,130311.31156339125
Тюменская область,Тюменская область,2010,1232000.0,708.0160000000001,-0.025100999999999967,461.0829786356221,12.494059966666667,283.06282764745373,136.61730016207008,0.8236773333333334,540.5864564758633,12.304260900000001,360.98658086332136,14.024149423075603,6.562466692308425,156.10153445066268,80124.56439577209
Тюменская область,Тюменская область,2011,1919500.0,717.0060000000001,1.3325949583333332,519.4746364111544,12.746480583333332,341.26689896971385,185.17527074057094,-0.025100999999999967,461.0829786356221,12.494059966666667,283.06282764745373,14.467575293422989,6.575084208765444,162.47276726129363,116463.09633240488
Тюменская область,Тюменская область,2012,1268700.0,700.206,1.910342075,506.17681988642454,14.405304883333331,327.37758574800216,124.6431742630221,1.3325949583333332,519.4746364111544,12.746480583333332,341.26689896971385,14.05350331212869,6.551374577464143,207.5128087817871,107176.08365019051
Тюменская область,Тюменская область,2013,1332500.0,694.575,1.915366310833333,531.216143542655,12.004249283333332,300.78826610819874,171.9779797937466,1.910342075,506.17681988642454,14.405304883333331,327.37758574800216,14.102567435022136,6.543300147724443,144.1020008564088,90473.58102837657
Тюменская область,Тюменская область,2014,1481900.0,698.462,0.5726072916666666,658.8105501368865,11.350939649999999,392.544140903898,194.89649753108347,1.915366310833333,531.216143542655,12.004249283333332,300.78826610819874,14.208835606178269,6.548880774926536,128.8438309379421,154090.9025579793
